#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T03:52:00Z,6.81,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T04:00:00Z,6.11,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T04:12:00Z,7.42,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T04:20:00Z,7.42,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T04:32:00Z,7.42,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T04:40:00Z,7.5,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T04:52:00Z,7.5,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T05:00:00Z,6.99,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T05:12:00Z,7,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T05:20:00Z,7,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T06:44:00Z,6.97,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T07:44:00Z,6.58,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T07:56:00Z,6.99,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T08:04:00Z,6.99,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T08:16:00Z,6.99,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T08:24:00Z,8.31,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T08:36:00Z,6.93,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T08:44:00Z,7.02,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T08:56:00Z,7.47,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T09:52:00Z,7.06,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T09:56:00Z,6.14,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T10:00:00Z,6.14,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T10:12:00Z,6.14,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T10:20:00Z,7.36,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T12:16:00Z,7.06,_value,AQI
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T17:20:00Z,7.53,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T17:28:00Z,7.01,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T17:32:00Z,7.01,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T17:40:00Z,7.01,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T17:52:00Z,7.96,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:00:00Z,7.98,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:12:00Z,7.98,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:20:00Z,7.98,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:32:00Z,7.98,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:40:00Z,7.98,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:52:00Z,7.98,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:00:00Z,8.08,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:12:00Z,7.18,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:20:00Z,7.18,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:32:00Z,7.79,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:40:00Z,7.79,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:52:00Z,7.79,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T20:12:00Z,7.53,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T20:20:00Z,7.88,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T20:32:00Z,7.88,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T20:40:00Z,8.03,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T20:52:00Z,7.01,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:00:00Z,7.01,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:12:00Z,8,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:20:00Z,8.1,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:32:00Z,8.1,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:40:00Z,8.16,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:52:00Z,8.9,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T22:00:00Z,8.9,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T22:12:00Z,9.04,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T22:20:00Z,9.04,_value,Temperature
,,1,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T22:32:00Z,9.03,_value,Temperature
